Address,Street Number,Street Direction,Street Name,Street Type,Zip Code,Lat,Lot,HT Score,Nearest Transit,Distance to Nearest Transity,Density 2010,Density 2012
2312 W 35TH PL chicago IL 60609,2312,W,35TH,PL,60609,41.82931092,-87.68279926,42.03,35th/Archer,0.15,9.99,10.19
557 E 45TH ST chicago IL 60653,557,E,45TH,ST,60653,41.8130835,-87.6122624,54.47,43rd,0.56,13.67,10.56
4002 S ELLIS AVE chicago IL 60653,4002,S,ELLIS,AVE,60653,41.82189108,-87.60377807,48.43,43rd,1.17,11.95,10
547 E 45TH ST chicago IL 60653,547,E,45TH,ST,60653,41.81308045,-87.61243374,54.28,43rd,0.55,13.58,10.51
5318 S WOLCOTT AVE chicago IL 60609,5318,S,WOLCOTT,AVE,60609,41.79729117,-87.67196637,34.96,Western-Orange,1.07,8.04,9.27
443 E 45TH PL chicago IL 60653,443,E,45TH,PL,60653,41.81212805,-87.61531298,46.04,47th-Green,0.36,11.83,10.68
5113 S HALSTED ST chicago IL 60609,5113,S,HALSTED,ST,60609,41.80120093,-87.64533503,37.47,Garfield-Red,1.12,6.15,6.04
4627 S ST LAWRENCE AVE chicago IL 60653,4627,S,ST LAWRENCE,AVE,60653,41.81051236,-87.61148102,42.67,47th-Green,0.52,14.89,12.39
4122 S BERKELEY AVE chicago IL 60653,4122,S,BERKELEY,AVE,60653,41.8194518,-87.60148664,42.17,47th St. (Kenwood) Metra,1.14,13.14,10.69
5211 S MARSHFIELD AVE chicago IL 60609,5211,S,MARSHFIELD,AVE,60609,41.79927839,-87.66594078,37.26,Western-Orange,1.34,8.37,9.28
2111 W 50TH ST chicago IL 60609,2111,W,50TH,ST,60609,41.80302592,-87.67737105,38.37,Western-Orange,0.48,9.76,10.47
4413 S WALLACE ST chicago IL 60609,4413,S,WALLACE,ST,60609,41.81405491,-87.64080806,45.69,47th-Red,0.77,8.21,8.51
4227 S PRAIRIE AVE chicago IL 60653,4227,S,PRAIRIE,AVE,60653,41.81789837,-87.61982698,46.81,43rd,0.14,12.78,11.5
3701 S WOLCOTT AVE chicago IL 60609,3701,S,WOLCOTT,AVE,60609,41.82674942,-87.67273892,35.47,35th/Archer,0.6,11.97,11.98
500 E 47TH ST chicago IL 60653,500,E,47TH,ST,60653,41.80942537,-87.61385241,35.73,47th-Green,0.34,13.15,11.6
2242 W 54TH PL chicago IL 60609,2242,W,54TH,PL,60609,41.79477231,-87.6809785,38.12,Western-Orange,0.93,7.9,8.18
930 E 42ND PL chicago IL 60653,930,E,42ND,PL,60653,41.81798424,-87.60348535,61.59,43rd,1.08,13.17,10.41
823 W 49TH PL chicago IL 60609,823,W,49TH,PL,60609,41.80430555,-87.64598046,40.82,47th-Red,1.18,6.35,6.01
417 E 45TH PL chicago IL 60653,417,E,45TH,PL,60653,41.81211598,-87.61597155,45.42,47th-Green,0.33,11.63,10.59
5159 S DAMEN AVE chicago IL 60609,5159,S,DAMEN,AVE,60609,41.79950727,-87.67446328,30.73,Western-Orange,0.81,8.71,10.27
